title,reviews_link
Avengers: Infinity War,https://www.imdb.com/title/tt4154756/reviews?ref_=tt_urv
Aquaman,https://www.imdb.com/title/tt1477834/reviews?ref_=tt_urv
Solo: A Star Wars Story,https://www.imdb.com/title/tt3778644/reviews?ref_=tt_urv
Fantastic Beasts: The Crimes of Grindelwald,https://www.imdb.com/title/tt4123430/reviews?ref_=tt_urv
Black Panther,https://www.imdb.com/title/tt1825683/reviews?ref_=tt_urv
Fifty Shades Freed,https://www.imdb.com/title/tt4477536/reviews?ref_=tt_urv
Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/reviews?ref_=tt_urv
Jurassic World: Fallen Kingdom,https://www.imdb.com/title/tt4881806/reviews?ref_=tt_urv
Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/reviews?ref_=tt_urv
Hotel Transylvania 3: Summer Vacation,https://www.imdb.com/title/tt5220122/reviews?ref_=tt_urv
Sherlock Gnomes,https://www.imdb.com/title/tt2296777/reviews?ref_=tt_urv
Bumblebee,https://www.imdb.com/title/tt4701182/reviews?ref_=tt_urv
The Grinch,https://www.imdb.com/title/tt2709692/reviews?ref_=tt_urv
Ralph Breaks the Internet,https://www.imdb.com/title/tt5848272/reviews?ref_=tt_urv
Pacific Rim: Uprising,https://www.imdb.com/title/tt2557478/reviews?ref_=tt_urv
Maze Runner: The Death Cure,https://www.imdb.com/title/tt4500922/reviews?ref_=tt_urv
Tomb Raider,https://www.imdb.com/title/tt1365519/reviews?ref_=tt_urv
Deadpool 2,https://www.imdb.com/title/tt5463162/reviews?ref_=tt_urv
Ready Player One,https://www.imdb.com/title/tt1677720/reviews?ref_=tt_urv
The Predator,https://www.imdb.com/title/tt3829266/reviews?ref_=tt_urv
Mary Poppins Returns,https://www.imdb.com/title/tt5028340/reviews?ref_=tt_urv
The Nutcracker and the Four Realms,https://www.imdb.com/title/tt5523010/reviews?ref_=tt_urv
Ocean's 8,https://www.imdb.com/title/tt5164214/reviews?ref_=tt_urv
Incredibles 2,https://www.imdb.com/title/tt3606756/reviews?ref_=tt_urv
Mission: Impossible - Fallout,https://www.imdb.com/title/tt4912910/reviews?ref_=tt_urv
The Equalizer 2,https://www.imdb.com/title/tt3766354/reviews?ref_=tt_urv
Rampage,https://www.imdb.com/title/tt2231461/reviews?ref_=tt_urv
Venom,https://www.imdb.com/title/tt1270797/reviews?ref_=tt_urv
Escape Plan 2: Hades,https://www.imdb.com/title/tt6513656/reviews?ref_=tt_urv
The Nun,https://www.imdb.com/title/tt5814060/reviews?ref_=tt_urv
The First Purge,https://www.imdb.com/title/tt6133466/reviews?ref_=tt_urv
Creed II,https://www.imdb.com/title/tt6343314/reviews?ref_=tt_urv
Insidious: The Last Key,https://www.imdb.com/title/tt5726086/reviews?ref_=tt_urv
Annihilation,https://www.imdb.com/title/tt2798920/reviews?ref_=tt_urv
Sicario: Day of the Soldado,https://www.imdb.com/title/tt5052474/reviews?ref_=tt_urv
Mamma Mia! Here We Go Again,https://www.imdb.com/title/tt6911608/reviews?ref_=tt_urv
A Wrinkle in Time,https://www.imdb.com/title/tt1620680/reviews?ref_=tt_urv
12 Strong,https://www.imdb.com/title/tt1413492/reviews?ref_=tt_urv
Halloween,https://www.imdb.com/title/tt1502407/reviews?ref_=tt_urv
Johnny English Strikes Again,https://www.imdb.com/title/tt6921996/reviews?ref_=tt_urv
Like Father,https://www.imdb.com/title/tt7170950/reviews?ref_=tt_urv
Mortal Engines,https://www.imdb.com/title/tt1571234/reviews?ref_=tt_urv
The Commuter,https://www.imdb.com/title/tt1590193/reviews?ref_=tt_urv
Skyscraper,https://www.imdb.com/title/tt5758778/reviews?ref_=tt_urv
Proud Mary,https://www.imdb.com/title/tt6421110/reviews?ref_=tt_urv
Den of Thieves,https://www.imdb.com/title/tt1259528/reviews?ref_=tt_urv
Winchester,https://www.imdb.com/title/tt1072748/reviews?ref_=tt_urv
Peter Rabbit,https://www.imdb.com/title/tt5117670/reviews?ref_=tt_urv
The 15:17 to Paris,https://www.imdb.com/title/tt6802308/reviews?ref_=tt_urv
Early Man,https://www.imdb.com/title/tt4701724/reviews?ref_=tt_urv
Samson,https://www.imdb.com/title/tt6951892/reviews?ref_=tt_urv
Game Night,https://www.imdb.com/title/tt2704998/reviews?ref_=tt_urv
Red Sparrow,https://www.imdb.com/title/tt2873282/reviews?ref_=tt_urv
Alpha,https://www.imdb.com/title/tt4244998/reviews?ref_=tt_urv
Death Wish,https://www.imdb.com/title/tt1137450/reviews?ref_=tt_urv
The Strangers: Prey at Night,https://www.imdb.com/title/tt1285009/reviews?ref_=tt_urv
The Hurricane Heist,https://www.imdb.com/title/tt5360952/reviews?ref_=tt_urv
7 Days in Entebbe,https://www.imdb.com/title/tt5466186/reviews?ref_=tt_urv
Bohemian Rhapsody,https://www.imdb.com/title/tt1727824/reviews?ref_=tt_urv
The Cloverfield Paradox,https://www.imdb.com/title/tt2548396/reviews?ref_=tt_urv
Acts of Violence,https://www.imdb.com/title/tt6684714/reviews?ref_=tt_urv
A Quiet Place,https://www.imdb.com/title/tt6644200/reviews?ref_=tt_urv
When We First Met,https://www.imdb.com/title/tt5783956/reviews?ref_=tt_urv
Isle of Dogs,https://www.imdb.com/title/tt5104604/reviews?ref_=tt_urv
The Spy Who Dumped Me,https://www.imdb.com/title/tt6663582/reviews?ref_=tt_urv
Life of the Party,https://www.imdb.com/title/tt5619332/reviews?ref_=tt_urv
Terminal,https://www.imdb.com/title/tt4463816/reviews?ref_=tt_urv
Anon,https://www.imdb.com/title/tt5397194/reviews?ref_=tt_urv
Ibiza,https://www.imdb.com/title/tt3685236/reviews?ref_=tt_urv
The Meg,https://www.imdb.com/title/tt4779682/reviews?ref_=tt_urv
Christopher Robin,https://www.imdb.com/title/tt4575576/reviews?ref_=tt_urv
Overboard,https://www.imdb.com/title/tt1563742/reviews?ref_=tt_urv
Father of the Year,https://www.imdb.com/title/tt7256866/reviews?ref_=tt_urv
I Feel Pretty,https://www.imdb.com/title/tt6791096/reviews?ref_=tt_urv
Robin Hood,https://www.imdb.com/title/tt4532826/reviews?ref_=tt_urv
Tag,https://www.imdb.com/title/tt2854926/reviews?ref_=tt_urv
First Man,https://www.imdb.com/title/tt1213641/reviews?ref_=tt_urv
Extinction,https://www.imdb.com/title/tt3201640/reviews?ref_=tt_urv
SuperFly,https://www.imdb.com/title/tt7690670/reviews?ref_=tt_urv
Peppermint,https://www.imdb.com/title/tt6850820/reviews?ref_=tt_urv
Blockers,https://www.imdb.com/title/tt2531344/reviews?ref_=tt_urv
